Host : lxdgpu01.hep.ph.ic.ac.uk
Date : Fri Jul 10 05:12:41 BST 2026
Args : --run-dir results/training/edgeconv_infonce --data /vols/cms/mm1221/cms/Data/d5/100k_mix_sep/hdf5 --output results/dataframes/d5/gnn_agglo --threshold 0.052
GPU  : NVIDIA RTX A6000

Model: results/training/edgeconv_infonce  |  device: cuda  |  out_dim: 16
Clustering: cosine + average  |  threshold: 0.052
  2000 events  (56s)
  4000 events  (109s)
  6000 events  (164s)
  8000 events  (224s)
  10000 events  (272s)
  12000 events  (346s)
  14000 events  (398s)
  16000 events  (445s)
  18000 events  (492s)
  20000 events  (542s)
  22000 events  (598s)
  24000 events  (645s)
  26000 events  (702s)
  28000 events  (746s)
  30000 events  (805s)
  32000 events  (850s)
  34000 events  (901s)
  36000 events  (944s)
  38000 events  (1002s)
  40000 events  (1061s)
  42000 events  (1125s)
  44000 events  (1177s)
  46000 events  (1220s)
  48000 events  (1266s)
  50000 events  (1321s)
  52000 events  (1383s)
  54000 events  (1454s)
  56000 events  (1503s)
  58000 events  (1568s)
  60000 events  (1616s)
  62000 events  (1673s)
  64000 events  (1729s)
  66000 events  (1777s)
  68000 events  (1844s)
  70000 events  (1905s)
  72000 events  (1956s)
  74000 events  (2019s)
  76000 events  (2070s)
  78000 events  (2129s)
  80000 events  (2178s)
  82000 events  (2231s)
  84000 events  (2283s)
  86000 events  (2332s)
  88000 events  (2386s)
  90000 events  (2432s)
  92000 events  (2485s)
  94000 events  (2535s)
  96000 events  (2582s)
  98000 events  (2629s)

Done: 99700 events in 2683.6s (26.9 ms/event)
purity=0.686  efficiency=0.781  ratio=1.308  25.7ms/ev
