Host : lxcgpu02.hep.ph.ic.ac.uk
Date : Fri Jul 10 06:03:43 BST 2026
Args : --run-dir results/training/edgeconv_infonce --data /vols/cms/mm1221/cms/Data/d10/100k_mix_sep/hdf5 --output results/dataframes/d10/gnn_agglo --threshold 0.052
GPU  : Tesla V100-PCIE-32GB

Model: results/training/edgeconv_infonce  |  device: cuda  |  out_dim: 16
Clustering: cosine + average  |  threshold: 0.052
  2000 events  (83s)
  4000 events  (163s)
  6000 events  (245s)
  8000 events  (331s)
  10000 events  (403s)
  12000 events  (515s)
  14000 events  (597s)
  16000 events  (666s)
  18000 events  (741s)
  20000 events  (818s)
  22000 events  (904s)
  24000 events  (970s)
  26000 events  (1056s)
  28000 events  (1122s)
  30000 events  (1211s)
  32000 events  (1277s)
  34000 events  (1359s)
  36000 events  (1426s)
  38000 events  (1514s)
  40000 events  (1604s)
  42000 events  (1702s)
  44000 events  (1782s)
  46000 events  (1847s)
  48000 events  (1912s)
  50000 events  (1997s)
  52000 events  (2094s)
  54000 events  (2197s)
  56000 events  (2274s)
  58000 events  (2374s)
  60000 events  (2451s)
  62000 events  (2530s)
  64000 events  (2612s)
  66000 events  (2691s)
  68000 events  (2794s)
  70000 events  (2886s)
  72000 events  (2966s)
  74000 events  (3061s)
  76000 events  (3142s)
  78000 events  (3230s)
  80000 events  (3304s)
  82000 events  (3386s)
  84000 events  (3462s)
  86000 events  (3538s)
  88000 events  (3623s)
  90000 events  (3689s)
  92000 events  (3768s)
  94000 events  (3841s)
  96000 events  (3912s)
  98000 events  (3981s)

Done: 99800 events in 4066.0s (40.7 ms/event)
purity=0.729  efficiency=0.855  ratio=1.707  39.4ms/ev
