Host : lxcgpu03.hep.ph.ic.ac.uk
Date : Thu Jun 11 05:14:20 BST 2026
Args : --config configs/tune.yaml
GPU  : Tesla V100-PCIE-32GB

Backend: gpu cuda  |  pipeline: raw
Loading 1000 events from /vols/cms/mm1221/cms/Data/d5/1k_mix/hdf5 ...
  1000 events in 0.6s
Config snapshot: results/param_tuning/tune_d5_2/config.json
Starting MOPSO: 60 particles × 60 iterations
Timing first iteration (60 particles × 1000 events)...
First iteration:  220.5s
Estimated total:  60 iters × 220.5s/iter = 3h 40m  (finish ~08:59)

  iter  3/60  214.6s/iter  elapsed 10m 43s  remaining ~3h 23m  pareto 38
  iter  6/60  213.6s/iter  elapsed 21m 21s  remaining ~3h 12m  pareto 58
  iter  9/60  212.3s/iter  elapsed 31m 50s  remaining ~3h 00m  pareto 85
  iter 12/60  211.3s/iter  elapsed 42m 23s  remaining ~2h 49m  pareto 97
  iter 15/60  210.3s/iter  elapsed 52m 50s  remaining ~2h 37m  pareto 112
  iter 18/60  210.1s/iter  elapsed 1h 03m  remaining ~2h 27m  pareto 126
  iter 21/60  208.9s/iter  elapsed 1h 13m  remaining ~2h 15m  pareto 144
  iter 24/60  209.1s/iter  elapsed 1h 24m  remaining ~2h 05m  pareto 156
  iter 27/60  208.5s/iter  elapsed 1h 34m  remaining ~1h 54m  pareto 162
  iter 30/60  208.7s/iter  elapsed 1h 44m  remaining ~1h 44m  pareto 174
  iter 33/60  208.2s/iter  elapsed 1h 55m  remaining ~1h 33m  pareto 186
  iter 36/60  209.2s/iter  elapsed 2h 05m  remaining ~1h 23m  pareto 199
  iter 39/60  209.7s/iter  elapsed 2h 16m  remaining ~1h 13m  pareto 216
  iter 42/60  209.3s/iter  elapsed 2h 26m  remaining ~1h 02m  pareto 225
  iter 45/60  209.5s/iter  elapsed 2h 37m  remaining ~52m 22s  pareto 236
  iter 48/60  208.6s/iter  elapsed 2h 47m  remaining ~41m 43s  pareto 246
  iter 51/60  208.6s/iter  elapsed 2h 58m  remaining ~31m 16s  pareto 256
  iter 54/60  208.3s/iter  elapsed 3h 08m  remaining ~20m 49s  pareto 267
  iter 57/60  209.1s/iter  elapsed 3h 19m  remaining ~10m 27s  pareto 278
  iter 60/60  209.5s/iter  elapsed 3h 29m  remaining ~0s  pareto 286

Done in 3h 29m  (209.6s/iter avg)  Pareto size: 286

      dc    rhoc       do       dm  z_scale  max_purity   min_eff  pen_ratio
  0.6235  8.0000  20.0000   1.0816   0.1269      0.0043    0.1298   125.0516
  0.5885  7.0291  20.0000   1.2880   0.1303      0.0050    0.1731    94.5153
  0.6485  5.8811   1.0000   2.2247   0.0996      0.0056    0.1459    85.5441
  0.6654  6.6618  20.0000   1.2734   0.1384      0.0058    0.1840    84.1613
  0.5829  6.0915   2.6638   1.0000   0.0800      0.0058    0.1446    81.3625
  0.8269  7.1659  14.1935   1.3122   0.1449      0.0061    0.1942    85.4008
  0.4589  8.0000   1.0000   1.0000   0.0388      0.0061    0.1368    78.1122
  0.6720  8.0000  20.0000   1.5494   0.1502      0.0067    0.2007    83.8471
  0.4026  4.6536  15.6492   1.3788   0.2152      0.0067    0.1763    67.4855
  0.5327  8.0000   1.0000   1.0000   0.0237      0.0068    0.1587    62.6870
  0.4760  5.8141   5.5888   1.0000   0.0546      0.0070    0.1658    48.3588
  0.5116  7.6771  20.0000   1.7105   0.1664      0.0071    0.2082    83.3597
  0.1788  2.4290   1.0265   2.4164   0.3586      0.0072    0.0906    29.9131
  1.1670  7.3009  17.0867   1.5119   0.2363      0.0074    0.2105    71.9563
  0.9131  7.9809  12.9810   1.8474   0.2380      0.0074    0.2302    76.3783
  0.5385  5.4992  14.1087   1.0000   0.0742      0.0075    0.1700    49.5205
  0.5188  6.3686   3.2774   1.0000   0.0474      0.0076    0.1674    43.8499
  1.0914  8.0000   1.6436   2.1465   0.1820      0.0076    0.2394    68.9249
  0.6635  8.0000   1.6118   1.0000   0.0272      0.0079    0.1773    60.4077
  0.9705  5.9234  20.0000   1.3329   0.1919      0.0079    0.2106    67.3022
  0.7811  5.1046   5.1510   1.1626   0.1012      0.0084    0.2002    59.4571
  0.6934  8.0000   1.8443   1.8873   0.1478      0.0084    0.2396    70.5941
  0.6724  7.2048   7.3652   1.2188   0.0747      0.0089    0.2022    62.4098
  0.7064  8.0000   1.0000   1.6766   0.0100      0.0093    0.1928    51.2154
  0.3986  5.7046   6.8748   1.0000   0.0432      0.0093    0.1730    38.4674
  1.2315  8.0000  12.4363   1.5486   0.1841      0.0093    0.2521    59.0766
  0.6185  6.7089   1.0000   1.0000   0.0100      0.0096    0.2024    35.0312
  0.5751  6.3804   1.6768   1.0000   0.0100      0.0099    0.2056    30.3853
  0.5249  5.9885   1.0000   1.0000   0.0100      0.0101    0.2047    25.1366
  1.2022  8.0000  10.8837   1.8969   0.2232      0.0102    0.2786    53.8116
  1.1377  7.8311   5.9331   1.9874   0.2230      0.0103    0.2808    49.7722
  0.9191  6.5690  11.1383   1.7079   0.1853      0.0104    0.2742    42.8831
  1.1729  8.0000  12.0773   2.0470   0.2336      0.0104    0.2856    52.0314
  0.6078  6.2299   1.0000   2.8905   0.0100      0.0106    0.2123    29.1020
  1.0531  8.0000  13.5402   1.9824   0.1783      0.0107    0.2864    53.7474
  0.5758  4.4302  20.0000   1.5422   0.1781      0.0117    0.2782    28.0016
  0.9381  4.7486   1.5348   2.2924   0.1729      0.0120    0.2790    30.2045
  0.2605  4.6472   1.0000   1.5648   0.0100      0.0125    0.1979    22.3983
  0.4518  3.8770  20.0000   1.4834   0.1695      0.0128    0.2659    27.6501
  0.3833  5.2137   1.0000   3.0909   0.0100      0.0129    0.2012    21.0720
  1.1392  7.5662  11.9605   2.1037   0.2150      0.0129    0.3050    41.1121
  0.4209  5.2047   1.0000   1.0000   0.0100      0.0131    0.2079    20.6302
  0.9338  6.6753  10.9110   2.0148   0.2106      0.0132    0.3108    36.1133
  0.4886  4.9836   1.0000   1.4824   0.0100      0.0140    0.2257    16.0136
  0.8604  4.4594  11.7475   1.6903   0.2526      0.0144    0.2804    28.1290
  1.1701  7.3044  13.8909   2.3163   0.2751      0.0146    0.3205    37.6898
  0.8807  4.6813  20.0000   1.6202   0.1604      0.0149    0.3052    25.0116
  1.1082  5.7282  19.1845   1.8774   0.2153      0.0149    0.3291    26.9303
  0.6483  4.6613   1.0000   3.3407   0.0350      0.0160    0.2292    23.0246
  0.3738  4.4438   1.0000   1.0000   0.0100      0.0164    0.2211    13.8132
  0.7268  5.8493   7.9789   2.0454   0.1693      0.0173    0.3307    30.8075
  0.6128  4.8881   9.2330   1.9382   0.2149      0.0174    0.3204    26.8253
  0.4742  4.6215   2.9216   1.0000   0.0100      0.0176    0.2354    13.4293
  0.3646  4.1433  11.6090   1.1365   0.0492      0.0176    0.2480    18.8774
  0.4687  4.3841   1.0000   1.0000   0.0100      0.0182    0.2385    11.7611
  1.2026  7.0386  12.2089   2.4866   0.2393      0.0186    0.3428    33.6253
  0.8220  4.0836   8.9282   1.7319   0.2046      0.0192    0.3284    19.7062
  1.1784  5.4905  13.9959   2.0449   0.2364      0.0193    0.3536    21.6772
  1.1410  6.3544   5.7124   2.1781   0.1818      0.0193    0.3554    27.1663
  0.6720  4.7554   1.0000   1.2365   0.0100      0.0194    0.2532    15.8764
  0.7327  4.9199   1.0000   1.0000   0.0100      0.0196    0.2591    15.9843
  0.5643  4.7919   4.1944   1.2656   0.0334      0.0196    0.2977    15.9789
  0.8971  4.4733   4.9488   1.7839   0.1674      0.0197    0.3338    20.1393
  0.5380  3.6098   1.0000   1.9802   0.0299      0.0211    0.2484    12.5279
  0.6046  4.2018   1.0000   1.0000   0.0100      0.0220    0.2577    12.7471
  0.9951  3.5628  20.0000   1.6684   0.1732      0.0230    0.3409    15.9004
  0.5129  4.1296   4.4783   1.0000   0.0100      0.0231    0.2565    10.1533
  1.2067  4.1739  14.7246   1.7375   0.2000      0.0231    0.3432    17.8768
  0.8605  4.9771  15.7613   1.6407   0.1160      0.0234    0.3461    21.0849
  1.0462  4.8048  20.0000   2.2627   0.2832      0.0234    0.3585    21.5006
  0.5709  4.0430   2.9182   1.0000   0.0100      0.0235    0.2617    10.4845
  1.2833  6.0257  14.0507   2.5498   0.2622      0.0238    0.3847    21.0999
  0.7208  4.4136   1.0000   1.0000   0.0100      0.0241    0.2682    12.6007
  1.1919  4.9826  20.0000   2.1835   0.2308      0.0246    0.3910    16.5914
  0.5673  4.5229   1.4400   1.2419   0.0100      0.0251    0.3091    13.2500
  0.9786  3.8591  19.3751   1.8618   0.1932      0.0257    0.3700    13.8516
  1.3572  6.3240  16.7475   2.6727   0.2284      0.0257    0.3913    22.1237
  1.2765  4.8444   7.1726   2.2593   0.2685      0.0259    0.3982    16.3388
  0.4353  3.4240   1.0000   1.7375   0.0100      0.0261    0.2601     9.6018
  0.5051  4.3129   2.1838   1.5917   0.0622      0.0266    0.3455    13.6317
  0.8296  3.9754  20.0000   2.0514   0.2073      0.0270    0.3822    15.9640
  0.5576  4.2272  12.5490   1.0000   0.0100      0.0274    0.2718    11.2993
  1.1035  4.3688  10.3695   2.1321   0.2538      0.0275    0.3942    13.8974
  0.3374  4.1154  15.8676   1.1092   0.0100      0.0276    0.2789    11.5158
  0.4912  3.3368   1.0000   1.0000   0.0100      0.0279    0.2677     7.2404
  1.2456  4.4286  12.1957   2.1297   0.2347      0.0292    0.3978    13.4928
  1.5559  5.7777  10.3916   2.6938   0.2994      0.0292    0.4058    17.8408
  0.4925  4.0844  18.6147   1.0000   0.0100      0.0292    0.2777     9.4343
  0.4867  4.2209   7.8302   1.4819   0.0563      0.0293    0.3393    11.7116
  1.4529  5.9519  17.5949   2.9382   0.3246      0.0297    0.4088    20.3733
  0.6432  4.3226  16.7556   2.3172   0.2029      0.0303    0.4020    15.5258
  0.6602  3.6426   4.1748   1.0000   0.0100      0.0316    0.2809     9.9970
  1.2046  4.9716  15.0868   2.2676   0.1868      0.0316    0.4176    14.9787
  0.6259  4.1019  20.0000   1.0000   0.0100      0.0317    0.2879    10.4439
  0.5675  3.9037  20.0000   1.0000   0.0100      0.0318    0.2868     9.5038
  0.4838  3.8745  19.7746   1.0000   0.0100      0.0318    0.2813     8.8840
  1.5001  5.6991  20.0000   2.9159   0.2840      0.0318    0.4208    18.5428
  1.0151  3.6457  20.0000   1.9363   0.1700      0.0318    0.3920    12.5657
  0.4657  3.7832  20.0000   1.0000   0.0100      0.0320    0.2820     8.4087
  0.4832  3.1272   1.0000   1.2794   0.0100      0.0321    0.2731     6.8575
  0.3698  3.6127  20.0000   1.0000   0.0100      0.0326    0.2761     8.3959
  0.9389  4.1931  20.0000   2.3423   0.1988      0.0328    0.4217    12.4476
  0.3987  3.2235   8.7419   1.0000   0.0100      0.0329    0.2777     8.3614
  1.3937  5.4206  20.0000   3.0418   0.3150      0.0337    0.4297    16.0815
  1.2699  4.8255  18.5097   2.5223   0.2153      0.0338    0.4249    14.3548
  0.5744  4.4607  17.2134   1.2976   0.0100      0.0345    0.3442    10.2989
  1.0646  5.0764  20.0000   3.1064   0.2964      0.0346    0.4351    16.4130
  0.9216  3.6106  13.5630   2.1082   0.2003      0.0349    0.4127    11.3715
  1.2061  3.5272  19.4789   2.0919   0.2467      0.0350    0.4124    10.3149
  0.7935  4.1702   8.3910   1.0000   0.0100      0.0352    0.2968    10.0596
  1.6754  4.8517  20.0000   2.5704   0.3124      0.0357    0.4318    13.4013
  0.6922  3.3166   1.0000   1.0000   0.0100      0.0362    0.2869     8.9344
  0.8793  4.3326  16.8439   1.8048   0.0974      0.0363    0.4010    10.0971
  0.9076  4.1689   3.8136   1.0000   0.0100      0.0363    0.3048     9.9076
  0.3851  3.4787  16.6751   1.0695   0.0100      0.0364    0.3010     7.8823
  1.4925  5.4631  14.6945   3.1198   0.2638      0.0366    0.4373    17.0842
  0.8779  3.6072  13.9380   2.1934   0.1815      0.0366    0.4245     9.9558
  1.6440  4.9460  20.0000   2.6840   0.2922      0.0372    0.4383    13.8337
  1.7004  4.3377  20.0000   2.3487   0.2821      0.0380    0.4350    10.8158
  1.4832  4.7888   5.3857   2.9302   0.3360      0.0383    0.4405    13.2802
  0.6134  4.1386   7.0101   1.3733   0.0161      0.0384    0.3605     9.2384
  0.3906  3.2687  16.0806   1.7434   0.1081      0.0384    0.3823     9.8909
  1.3860  3.8502  19.6389   2.2853   0.2259      0.0386    0.4388     9.2310
  0.3562  2.9391  20.0000   1.0000   0.0202      0.0387    0.2933     7.5238
  1.2389  3.9440  20.0000   2.4188   0.2289      0.0389    0.4425     9.8336
  1.0889  4.2212  18.6549   2.6732   0.2588      0.0391    0.4446    10.7455
  1.2455  4.1268  20.0000   2.6298   0.3002      0.0392    0.4451    10.1711
  1.2557  3.8154  10.9666   2.3372   0.2140      0.0399    0.4409     9.3773
  0.3391  2.9966  20.0000   1.0000   0.0100      0.0403    0.2938     7.5179
  0.3296  2.9566  18.6960   1.0000   0.0100      0.0405    0.2933     7.4926
  0.4925  3.4102   5.1104   1.3653   0.0279      0.0407    0.3612     8.4559
